Restaurant ID,Restaurant Name,Restaurant Name Length,Address,Address Length,Cuisines,Cuisine Count,Has Table booking,Has Table Booking (encoded),Has Online delivery,Has Online Delivery (encoded),Is delivering now,Is Delivering Now (encoded),Switch to order menu,Switch To Order Menu (encoded),Price range,Aggregate rating
6317637,Le Petit Souffle,16,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",71,"French, Japanese, Desserts",3,Yes,1,No,0,No,0,No,0,3,4.8
6304287,Izakaya Kikufuji,16,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",67,Japanese,1,Yes,1,No,0,No,0,No,0,3,4.5
6300002,Heat - Edsa Shangri-La,22,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",56,"Seafood, Asian, Filipino, Indian",4,Yes,1,No,0,No,0,No,0,4,4.4
6318506,Ooma,4,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",70,"Japanese, Sushi",2,No,0,No,0,No,0,No,0,4,4.9
6314302,Sambo Kojin,11,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",64,"Japanese, Korean",2,Yes,1,No,0,No,0,No,0,4,4.8
18189371,Din Tai Fung,12,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",71,Chinese,1,No,0,No,0,No,0,No,0,3,4.4
6300781,Buffet 101,10,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",83,"Asian, European",2,Yes,1,No,0,No,0,No,0,4,4.0
6301290,Vikings,7,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",81,"Seafood, Filipino, Asian, European",4,Yes,1,No,0,No,0,No,0,4,4.2
6300010,Spiral - Sofitel Philippine Plaza Manila,40,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",69,"European, Asian, Indian",3,Yes,1,No,0,No,0,No,0,4,4.9
6314987,Locavore,8,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",67,Filipino,1,Yes,1,No,0,No,0,No,0,3,4.8
6309903,Silantro Fil-Mex,16,"75 East Capitol Drive, Kapitolyo, Pasig City",44,"Filipino, Mexican",2,No,0,No,0,No,0,No,0,3,4.9
6309455,Mad Mark's Creamery & Good Eats,31,"23 East Capitol Drive, Kapitolyo, Pasig City",44,"American, Ice Cream, Desserts",3,Yes,1,No,0,No,0,No,0,3,4.2
6318433,Silantro Fil-Mex,16,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",68,"Filipino, Mexican",2,No,0,No,0,No,0,No,0,3,4.8
6310470,Guevarra's,10,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",68,Filipino,1,Yes,1,No,0,No,0,No,0,3,4.2
6314605,Sodam Korean Restaurant,23,"17 J. Abad Santos Drive, Little Baguio, San Juan City",53,Korean,1,No,0,No,0,No,0,No,0,3,4.3
18185059,Cafe Arabelle,13,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",77,"Cafe, American, Italian, Filipino",4,No,0,No,0,No,0,No,0,3,3.6
18182702,Nonna's Pasta & Pizzeria,24,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",65,"Italian, Pizza",2,No,0,No,0,No,0,No,0,3,4.0
6318213,Balay Dako,10,"Aguinaldo Highway, Tagaytay City",32,Filipino,1,Yes,1,No,0,No,0,No,0,3,4.5
18255654,Hobing Korean Dessert Cafe,26,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",103,"Cafe, Korean, Desserts",3,No,0,No,0,No,0,No,0,2,4.5
6308205,Wildflour Cafe + Bakery,23,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",97,"Cafe, Bakery, American, Italian",4,Yes,1,No,0,No,0,No,0,4,4.4
6315438,NIU by Vikings,14,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",92,"Seafood, American, Mediterranean, Japanese",4,Yes,1,No,0,No,0,No,0,4,4.7
6310406,The Food Hall by Todd English,29,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",87,"American, Asian, Italian, Seafood",4,Yes,1,No,0,No,0,No,0,4,4.5
6600681,Chez Michou,11,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Bras�_lia",49,"Fast Food, French",2,No,0,No,0,No,0,No,0,2,3.0
6601005,Caf�� Daniel Briand,19,"SCLN 104, Bloco A, Loja 26, Asa Norte, Bras�_lia",48,Cafe,1,No,0,No,0,No,0,No,0,1,3.8
6600292,Casa do Biscoito Mineiro,24,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Bras�_lia",51,Bakery,1,No,0,No,0,No,0,No,0,2,3.7
6600441,Maori,5,"CLN 110, Bloco D, Loja 28, Asa Norte, Bras�_lia",47,Brazilian,1,No,0,No,0,No,0,No,0,3,3.8
6600970,Pizza �� Bessa,14,"SCS 214, Bloco C, Loja 40, Asa Sul, Bras�_lia",45,Pizza,1,No,0,No,0,No,0,No,0,2,3.2
